year_month,product,price,category
202308,Garlic moss,8.4,Vegetable
202308,Zucchini,2.73,Vegetable
202308,Lettuce,3.58,Vegetable
202308,Celery,3.76,Vegetable
202308,Rape,3.96,Vegetable
202308,Pumpkin,2.55,Vegetable
202308,Scallion,3.19,Vegetable
202308,Glass lettuce,4.91,Vegetable
202308,Cauliflower,3.76,Vegetable
202308,Ginger,16.29,Vegetable
202308,White radish,1.7,Vegetable
202308,Green pepper,3.53,Vegetable
202308,Tomato,3.35,Vegetable
202308,Potato,3.06,Vegetable
202308,Chinese cabbage,1.73,Vegetable
202308,Onion,2.32,Vegetable
202308,Eggplant,3.02,Vegetable
202308,Cabbage,2.04,Vegetable
202308,Cucumber,3.2,Vegetable
202308,Lotus root,6.57,Vegetable
202308,Beans,6.2,Vegetable
202308,Garlic,10,Vegetable
202308,Winter melon,1.86,Vegetable
202308,Mushroom,12.89,Vegetable
202308,Chinese chives,4.47,Vegetable
202308,Carrot,2.54,Vegetable
202308,Spinach,8.48,Vegetable
202308,Oyster Mushroom,9.63,Vegetable
202307,Eggplant,2.95,Vegetable
202307,Oyster Mushroom,8.13,Vegetable
202307,White radish,1.73,Vegetable
202307,Cucumber,2.81,Vegetable
202307,Green pepper,3.76,Vegetable
202307,Zucchini,2.69,Vegetable
202307,Lettuce,3.29,Vegetable
202307,Chinese chives,3.8,Vegetable
202307,Garlic moss,8.39,Vegetable
202307,Rape,3.27,Vegetable
202307,Winter melon,2.26,Vegetable
202307,Lotus root,7.86,Vegetable
202307,Garlic,10.04,Vegetable
202307,Ginger,16.53,Vegetable
202307,Glass lettuce,3.95,Vegetable
202307,Carrot,2.79,Vegetable
202307,Potato,3.09,Vegetable
202307,Tomato,3.8,Vegetable
202307,Cauliflower,4.35,Vegetable
202307,Celery,4.02,Vegetable
202307,Beans,6.57,Vegetable
202307,Spinach,6.21,Vegetable
202307,Cabbage,2,Vegetable
202307,Chinese cabbage,1.81,Vegetable
202307,Mushroom,12.44,Vegetable
202307,Pumpkin,3,Vegetable
202307,Scallion,3.02,Vegetable
202307,Onion,2.21,Vegetable
202306,Eggplant,3.76,Vegetable
202306,Pumpkin,3.27,Vegetable
202306,Zucchini,3.07,Vegetable
202306,Winter melon,2.89,Vegetable
202306,Chinese cabbage,1.98,Vegetable
202306,Lettuce,3.44,Vegetable
202306,Cucumber,3.23,Vegetable
202306,White radish,1.73,Vegetable
202306,Lotus root,7.08,Vegetable
